SNO	partName despQuant	despatchDate	
1	3MCY50318JU610	20	03-04-2018
2	3MCY50318JU610	21	04-04-2018
3	3MCY50318JU610	10	09-04-2018
4	3MCY50318JU610	21	10-04-2018
5	3MCY50318JU610	25	12-04-2018
6	3MCY50318JU610	96	19-04-2018
7	3MCY50318JU610	22	20-04-2018
8	3MCY50318JU610	10	21-04-2018
9	3MCY50318JU610	20	23-04-2018
10	3MCY50318JU610	113	24-04-2018
11	3MCY50318JU610	30	25-04-2018
12	3MCY50318JU610	25	26-04-2018
13	3MCY50318JU610	70	27-04-2018
14	3MCY50318JU610	190	28-04-2018
15	3MCY50318JU610	65	29-04-2018
16	3MCY50318JU610	75	30-04-2018
17	3MCY50318JU610	2	04-05-2018
18	3MCY50318JU610	4	05-05-2018
19	3MCY50318JU610	10	08-05-2018
20	3MCY50318JU610	10	09-05-2018
21	3MCY50318JU610	20	10-05-2018
22	3MCY50318JU610	5	12-05-2018
23	3MCY50318JU610	30	14-05-2018
24	3MCY50318JU610	16	15-05-2018
25	3MCY50318JU610	205	21-05-2018
26	3MCY50318JU610	35	22-05-2018
27	3MCY50318JU610	30	23-05-2018
28	3MCY50318JU610	40	24-05-2018
29	3MCY50318JU610	165	25-05-2018
30	3MCY50318JU610	105	28-05-2018
31	3MCY50318JU610	115	29-05-2018
32	3MCY50318JU610	168	30-05-2018
33	3MCY50318JU610	20	04-06-2018
34	3MCY50318JU610	2	05-06-2018
35	3MCY50318JU610	5	07-06-2018
36	3MCY50318JU610	90	08-06-2018
37	3MCY50318JU610	25	09-06-2018
38	3MCY50318JU610	51	11-06-2018
39	3MCY50318JU610	41	12-06-2018
40	3MCY50318JU610	25	13-06-2018
41	3MCY50318JU610	95	14-06-2018
42	3MCY50318JU610	115	15-06-2018
43	3MCY50318JU610	15	16-06-2018
44	3MCY50318JU610	63	18-06-2018
45	3MCY50318JU610	54	19-06-2018
46	3MCY50318JU610	49	20-06-2018
47	3MCY50318JU610	189	21-06-2018
48	3MCY50318JU610	35	22-06-2018
49	3MCY50318JU610	26	23-06-2018
50	3MCY50318JU610	30	25-06-2018
51	3MCY50318JU610	30	26-06-2018
52	3MCY50318JU610	25	27-06-2018
53	3MCY50318JU610	91	28-06-2018
54	3MCY50318JU610	110	29-06-2018
55	3MCY50318JU610	219	30-06-2018
56	3MCY50318JU610	5	06-07-2018
57	3MCY50318JU610	10	09-07-2018
58	3MCY50318JU610	6	11-07-2018
59	3MCY50318JU610	142	14-07-2018
60	3MCY50318JU610	52	16-07-2018
61	3MCY50318JU610	45	17-07-2018
62	3MCY50318JU610	65	18-07-2018
63	3MCY50318JU610	75	19-07-2018
64	3MCY50318JU610	28	20-07-2018
65	3MCY50318JU610	70	21-07-2018
66	3MCY50318JU610	60	23-07-2018
67	3MCY50318JU610	10	24-07-2018
68	3MCY50318JU610	170	25-07-2018
69	3MCY50318JU610	25	26-07-2018
70	3MCY50318JU610	84	27-07-2018
71	3MCY50318JU610	80	28-07-2018
72	3MCY50318JU610	210	30-07-2018
73	3MCY50318JU610	19	03-08-2018
74	3MCY50318JU610	5	06-08-2018
75	3MCY50318JU610	40	07-08-2018
76	3MCY50318JU610	19	08-08-2018
77	3MCY50318JU610	15	09-08-2018
78	3MCY50318JU610	95	10-08-2018
79	3MCY50318JU610	40	11-08-2018
80	3MCY50318JU610	41	13-08-2018
81	3MCY50318JU610	43	14-08-2018
82	3MCY50318JU610	55	16-08-2018
83	3MCY50318JU610	30	17-08-2018
84	3MCY50318JU610	6	18-08-2018
85	3MCY50318JU610	50	20-08-2018
86	3MCY50318JU610	65	21-08-2018
87	3MCY50318JU610	15	22-08-2018
88	3MCY50318JU610	99	23-08-2018
89	3MCY50318JU610	60	24-08-2018
90	3MCY50318JU610	10	27-08-2018
91	3MCY50318JU610	10	28-08-2018
92	3MCY50318JU610	43	29-08-2018
93	3MCY50318JU610	180	30-08-2018
94	3MCY50318JU610	5	03-09-2018
95	3MCY50318JU610	11	05-09-2018
96	3MCY50318JU610	3	06-09-2018
97	3MCY50318JU610	25	10-09-2018
98	3MCY50318JU610	2	12-09-2018
99	3MCY50318JU610	20	14-09-2018
100	3MCY50318JU610	15	15-09-2018
101	3MCY50318JU610	8	17-09-2018
102	3MCY50318JU610	39	18-09-2018
103	3MCY50318JU610	20	19-09-2018
104	3MCY50318JU610	86	20-09-2018
105	3MCY50318JU610	202	21-09-2018
106	3MCY50318JU610	135	24-09-2018
107	3MCY50318JU610	108	25-09-2018
108	3MCY50318JU610	166	26-09-2018
109	3MCY50318JU610	65	27-09-2018
110	3MCY50318JU610	115	28-09-2018
111	3MCY50318JU610	93	30-09-2018
112	3MCY50318JU610	2	03-10-2018
113	3MCY50318JU610	15	04-10-2018
114	3MCY50318JU610	75	06-10-2018
115	3MCY50318JU610	90	08-10-2018
116	3MCY50318JU610	95	09-10-2018
117	3MCY50318JU610	40	10-10-2018
118	3MCY50318JU610	11	12-10-2018
119	3MCY50318JU610	5	13-10-2018
120	3MCY50318JU610	50	15-10-2018
121	3MCY50318JU610	26	16-10-2018
122	3MCY50318JU610	25	17-10-2018
123	3MCY50318JU610	48	19-10-2018
124	3MCY50318JU610	48	20-10-2018
125	3MCY50318JU610	50	22-10-2018
126	3MCY50318JU610	20	23-10-2018
127	3MCY50318JU610	61	24-10-2018
128	3MCY50318JU610	10	25-10-2018
129	3MCY50318JU610	77	26-10-2018
130	3MCY50318JU610	30	27-10-2018
131	3MCY50318JU610	155	30-10-2018
132	3MCY50318JU610	5	03-11-2018
133	3MCY50318JU610	14	05-11-2018
134	3MCY50318JU610	15	06-11-2018
135	3MCY50318JU610	5	09-11-2018
136	3MCY50318JU610	5	10-11-2018
137	3MCY50318JU610	20	12-11-2018
138	3MCY50318JU610	10	13-11-2018
139	3MCY50318JU610	95	14-11-2018
140	3MCY50318JU610	2	16-11-2018
141	3MCY50318JU610	15	19-11-2018
142	3MCY50318JU610	30	20-11-2018
143	3MCY50318JU610	150	22-11-2018
144	3MCY50318JU610	25	23-11-2018
145	3MCY50318JU610	15	26-11-2018
146	3MCY50318JU610	20	27-11-2018
147	3MCY50318JU610	135	28-11-2018
148	3MCY50318JU610	230	30-11-2018
